codeClean,codeDisinf,codeEcon,codeElev,codeEmgr,codeFalarm,codeGarbage,codeMgr,codeNet,codeSec,codeStr,codeWsupply,convenientFacility,disposalType,educationFacility,kaptCcompany,kaptCode,kaptMgrCnt,kaptName,kaptdCccnt,kaptdClcnt,kaptdDcnt,kaptdEcapa,kaptdEcnt,kaptdPcnt,kaptdPcntu,kaptdScnt,kaptdSecCom,kaptdWtimebus,kaptdWtimesub,subwayLine,subwayStation,welfareFacility
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,무,위탁관리,철골철근콘크리트구조,부스타방식,"관공서(여의도 우체국) 병원(카톨릭대학교 여의도성모병원) 백화점(여의도백화점) 공원(여의도공원, 앙카라 공원)",분무식,초등학교(여의도 초등학교) 중학교(여의도 중학교) 고등학교(여의도 여자고등학교),(주)세안텍스,A15088915,12,롯데캐슬아이비,46,18,4,7000,12,0,1081,11,(주)세안텍스,5분이내,10~15분이내,"1호선, 5호선, 9호선",대방역 / 여의도역 / 샛강역,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
자치관리(직영),위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,자치관리(직영),벽돌구조,고가수조식,공원(),,초등학교() 중학교() 고등학교(),,A15088802,4,여의도화랑,32,2,12,600,8,155,0,6,,5분이내,10~15분이내,"5호선, 9호선",,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,차량수거방식,자치관리,,위탁관리,철골철근콘크리트구조,고가수조식,,도포식,,,A10024981,1,콤비아파트,32,4,12,2687,3,11,133,2,아세아환경,5분이내,5~10분이내,"5호선, 9호선",,"관리사무소, 어린이놀이터, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(영등포구청) 병원(소망치과) 대형상가(삼성홈플러스) 기타(영등포청과시장),"분무식,독이식",초등학교(문래초) 중학교(양화중학교),율산개발(주),A15080002,5,당산진로,50,3,12,1954,8,74,477,8,(주)이오티앤디,5분이내,5~10분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,GR형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포구청) 병원(김안과병원) 백화점(타임스퀘어) 대형상가(홈플러스, 이마트) 공원(문래근린공원)","분무식,독이식",초등학교(영증초) 중학교(양화중교),태림주택종합관리(주),A15004101,2,당산신동아파밀리에,37,2,12,940,14,23,148,2,태림주택관리,5분이내,5~10분이내,"1호선, 2호선, 5호선","영등포,문래","관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
,,,,,,,자치관리,,,,,,,,,A15075001,,당산코오롱,,,,,,,,,,5분이내,,"2호선, 5호선",,
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,차량수거방식,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포구청) 병원(김원식치과) 백화점() 대형상가(영등포유통상가) 공원(당산 문래공원) 기타(홈플러스),"도포식,분무식",초등학교(문래초) 중학교(양화중학교),인덕종합관리(주),A15004201,7,당산동대우,43,3,12,1100,4,0,542,2,인덕종합관리(주),5분이내,5~10분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,차량수거방식,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포구청) 병원(영등포병원) 백화점(롯데백화점, 신세계백화점) 대형상가(홈플러스,코스트코, 롯데마트, 영등포유통상가) 공원(당산공원)","도포식,분무식,독이식",초등학교(당중초) 중학교(양화중),태림주택종합관리(주),A15004202,7,당산2가현대,150,7,4,2100,21,251,489,9,태림주택종합관리(주),5분이내,5분이내,"2호선, 5호선",영등포구청역,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소"
위탁관리,위탁관리,종합계약,관리방식미정,상주선임,R형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포구청) 병원(영등포병원) 대형상가(코스트코/홈플러스/롯데마트) 공원(당산공원),"도포식,독이식",,주식회사 한화에스테이트서비스,A10023489,8,포레나 당산,93,6,12,3500,12,0,348,2,(주)멀티파워텍,5분이내,5분이내,"2호선, 5호선",영등포구청역,"관리사무소, 보육시설, 문고, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소"
위탁관리,자치관리,단일계약,위탁관리,위탁선임,GR형,거점장비수거방식,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(성모치과) 대형상가(하이마트-영등포점) 공원(당산공원),"도포식,분무식,독이식",초등학교(영중초),국제경보산업(주),A15080402,3,당산삼익,17,1,12,130,2,130,0,4,(주)조현시스템,5~10분이내,5분이내,"2호선, 5호선",영등포구청,"관리사무소, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포구청,영등포경찰서) 병원(성모치과,영등포병원) 백화점(코스트코,롯데마트) 대형상가(하이마트-영등포점,) 공원(당산공원)","도포식,분무식,독이식",초등학교(당중초),(주)화신지엠에스,A15072001,4,당산쌍용예가클래식,80,3,12,1500,13,6,279,4,(주)세계보안관리,5~10분이내,5분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(평강한의원) 대형상가(LG하이프라자) 공원(당산공원),"분무식,독이식",초등학교(영중초),광인산업주식회사,A15080204,5,당산한양,68,4,12,900,13,295,0,6,코리아종합관리(주),5~10분이내,5분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포경찰서) 병원(한성의원가정의학과, 영등포병원) 대형상가(롯데빅마켓) 공원(당산공원)",분무식,초등학교(영중초),남경종합관리(주),A15080205,5,당산동부센트레빌,146,4,4,1800,11,0,749,6,(주)국보종합관리,5~10분이내,5분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
